review_id,snippet_pt,review_creation_date,snippet_en
c0dbf9a325d2a2fece43873be47191e1,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",2018-04-04,"Great store for partnership: very fast, well packaged and quality products! Just the cost of shipping that was kind of sour."
109b5ce2dd11bb8460eff3b86da6fefc,Recomendo o vendedor... ,2018-08-17,I recommend the seller...
6d06808638ec0701bccd70bc8d462c28,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",2016-12-09,"The product did not arrive within the stipulated period and caused inconvenience, because I scheduled my son's vacation trip, based on the deadline. I live in Bahia and he lives alone in Cuiabá. Now the house is empty."
750d4311e8ddb6cba549ee86f06f0cca,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",2017-08-09,"Product delivered as requested, and very quickly. Congratulations!"
8b230a1373c6dc4bd867099fda1d7039,Eu comprei duas unidades e só recebi uma e agora o que faço?,2017-11-09,I bought two units and only received one and now what do I do?
cb2fc3e5711b5ae85e0491ee18af63ed,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",2018-01-31,"Good product, but what came to me does not match the photo in the ad."
60c714ed14cef913944a3147094a4742,"Produto muito inferior, mal acabado.",2018-07-03,"Very inferior product, badly finished."
c45811d9f90e22a81155b3a1e4a5c2e8,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,2018-06-19,The dog patrol backpack kit is beautiful!! My grandson will love it!! Thanks!!
0bd4dcc4f6c4621baf37f73495cad8c4,Entrega no prazo,2017-03-23,delivery on time
888f11883ff85fa5c07e6ae1192d85c4,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,2018-01-04,Fulfilled what was promised in the purchase and with a delivery in satisfactory time
65dfeb60c40e3cbb0a1838285d86f885,Pedi reembolso e sem resposta até momento ,2018-03-08,I asked for a refund and no response so far.
50a1eaa2f96d6f3e02d0cd68d92bab75,Super rápido.,2018-05-10,Super fast.
97d4feff1fd7129bee6cde095b9dac2a,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",2017-06-24,"congratulations are in order... it always arrives in advance...
Thank you very much...."
1692078634b63c7f25aa90ee746ec498,OK RECOMENDO,2018-05-23,OK I RECOMMEND
ff722b4c68783a4459a3adb9bb4e1d0d,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",2018-01-16,"Product arrived, but my PC could not recognize the USB ports."
8055e963f26f70c406ca517b2c2848e6,"Produto de muito boa qualidade, chegou antes do prazo prometido",2017-12-17,"Very good quality product, arrived before the promised date"
ae728c1061bf163b4bd256ad9ee0bb83,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",2018-01-04,"this was the order
Bucket with 128 Pieces - Building Blocks 2 un - R$ 25.00 each (WAS NOT DELIVERED)
Sold and delivered targaryen
Eva Rug Nº Letters 36 Pieces Children 1 unit - R$ 35.90 (THIS WAS DELIVERED"
41926e45719f9b923357ea3bb222195f,"Entrega muito rápida
Parabéns",2017-08-29,"Very fast delivery
Congratulations"
72730619a00e0ecdecf0a4ff862d8996,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,2017-11-07,I bought three packs of five sheets each of transfer paper for dark fabric and only received two
c5d83c2523ef15209c8faf5133a7bafb,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",2017-12-16,"I was missing only one product, I received it today, thank you very much!
All very well!

Att

Elenice."
766fc608e4f2683020fb0a121d9db23e,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",2018-01-10,"The thermal bag besides being beautiful is super spacious. Product as advertised and super fast delivery, delivered well before the deadline."
5c37d7ba6ef2f031c34bb4fda3454018,Demorou de mais pra entrega ,2017-12-17,Took too long for delivery
83414f98136ce687f7eb69e555b2519c,super rapido a entrega .... chegou antes da data... ,2017-10-24,super fast delivery .... arrived before the date ...
46d8249ea59101c7288936c3e6f155d7,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,2018-01-20,The delivery was split in two. There was no communication from the store. I thought they only sent part of the product.
346317f9aff540395fe46893611854f8,Não funciona não faz sincronismo,2017-09-17,"Does not work, does not sync"
2685a4800004a12ec09d27264ff1915f,Recomendo a todos os clientes,2016-10-22,Recommend to all customers
a55012f5c7e74353e92986be15d133b6,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",2017-06-03,"I really liked the bathroom set. The flowery print, the embroidery, everything is very pretty. Great product."
487f8ff16eaf366dc7c01652202048c3,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",2017-08-22,"Only one piece arrived, but the note and guarantee contain both jewels."
ef8ae544c432bb1053ba5990bd0d6227,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,2018-01-12,I DIDN'T RECEIVE THE PRODUCT AND IT STATES IN THE SYSTEM THAT I RECEIVED IN ADDITION TO PAYING EXPENSIVE SHIPPING
aaab917291fea34988b9a0cb60e0716f,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",2018-04-05,"I bought the watch, unisex and they sent a female watch, much smaller than the ad specifications."
3f73914ab5fc1cd68ad6757c93644349,Sempre compro na lannister.Pra mim é a melhor loja on-line,2018-03-14,I always buy at Lannister. For me it's the best online store
e2fd85e5df711bd91e6e96e13c741843,Produto de qualidade excelente,2017-01-31,excellent quality product
42ae74a43661be8587b2e2db054179db,Ótimo custo-benefício,2017-09-14,Great value for money
79927442ebcbf70b2021e1339bb9a51b,Gostei da atenção com a entrega,2018-04-27,I liked the attention with the delivery
14613df954694f243dedeaa2c8a3a5c2," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",2018-05-15,"If it was glass it would have broken; came in the box without any protection inside, the box was very crumpled. Sorry.. but I like to buy from you
."
5f938e5f5f2e9a75710b54feeb9ea610,A peça não serviu,2018-05-11,The part didn't fit
d7ea05bb4f9c77d606fd90b1a27e317d,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,2018-03-29,"I bought the product on February 25th and today, March 29th, it was not delivered to my residence. I don't know if the post office in Brazil is terrible or it was the store itself that took a while to post."
185cb85ede91009d7a8e685687c037ee,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",2017-04-06,"I made my purchase 30 days ago and still haven't received my product.
Need to improve on deliveries"
0c9b6ca9b3beaf0fd5d621f63844ea01,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",2018-08-26,"I'm hoping to get it this week, which wouldn't be too extravagant, but...any more delay than that would make me drop out of the baratheon."
c399eafa15aafaecdd1d9008f5b34ed6,"Entregou no prazo certo, fiquei feliz com a compra que fiz",2017-06-23,"Delivered on time, I was happy with the purchase I made"
8ef36616bef00398b6e413c124f436c8,Lindo relógio adorei,2017-05-31,Beautiful watch I loved it
57e994485c2ebd293e4fa9cd62e5bb96,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",2018-03-14,"I bought two pendant chandeliers, with the targaryen partner and they only sent me one chandelier. I filed a complaint but have yet to receive a response. I await a solution from Lojas Lannister."
59d95e0b5b52d038dc3a022b7c912969,Muito bom alta qualidade!,2018-07-04,Very good high quality!
a0adf7a439816b22050d6bf433cbbff6,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",2018-04-10,"Beautiful product, delivered well valued and on time. I recommend!"
c40a6b6e0181e5ec0d12cbc2e12c49d3,Faltou 1 produto e os que recebi 1 veio quebrado,2018-05-23,Missing 1 product and the ones I received 1 came broken
5241fcad10d7b45a1761f1e1e1536faa,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",2018-07-07,"Arrived on time and the product is of excellent quality! My back pain is gone, I'm sleeping very well!"
06f47dacd0575e592bf6a17e922ce6cd,aqui está descrevendo como entregue só que ate agora não recebi,2018-06-28,here it is describing it as delivered but until now I have not received it
d36219dfadc3a5b07ab66670d23915ad,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",2016-10-19,"I think tracking the product should be better and more accurate, but overall it was a great experience"
5230dc021b8ce3fe53ed728af873a6d1,Ainda não tive a oportunidade de testar,2017-11-23,I haven't had a chance to test it yet.
4656b8ed41c17f6be05e911e211ecd8f,Comecei a usar agora ,2018-05-08,I started using it now
8ef0597f9b1870cf46c81358425f0e24,nada a declarar,2017-05-20,nothing to declare
6b341682ab39af9fa00d72d7388c903b,"Comprar um produto correto na capa mas interno ser outro.???????
",2018-05-10,Buy a correct product on the cover but inside be another.???????
e4f0765c572989acb3d2d17c911ccce4,entrega super rapida,2017-12-13,super fast delivery
557ae9c16a8ea3909db2fc5a01bc5151,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",2018-05-24,I placed an order for 4 bottles of olive oil. 2 arrived in one day and the other 2 almost 48 hours later.
5939898b5d2ac05454b2fe1aeecaad19,O produto chegou muito rapido e de boa qualidade recomendo o produto,2018-03-09,The product arrived very quickly and of good quality I recommend the product
cde97e23deec3aa11e838402378706ee,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",2017-12-22,"I can't! I'm waiting for the product I bought to arrive! As soon as that happens, I'll have my opinion formed!"
3ff8285931cc9b54c9ad22ba78957f63,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,2017-05-14,I bought two products and received only one. I sent two emails to the store and had no response. I'm dissatisfied.
fdb0e5a14fb6456e28ce7b3b054b8843,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,2018-02-16,I would not recommend this store nor do I intend to buy from it again. The goods were delivered after the deadline and almost 1 month after the purchase. On the Lannister website they usually arrive before the deadline. 
deb6f26fd2c11c556bc9245fd9203469,Atendeu minha expectativa.,2018-02-24,It met my expectation.
6591adaa3a855d13090d5fd151ad96c2,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,2017-08-31,Delivery before deadline. Very practical and easy to use product.
c4a20a1d2d634f814cca9311edd60e99,"otimo produto só nao veio manual, mas sem problemas.",2018-04-21,"great product just did not come manual, but without problems."
81e7291e2f92b492eb0340f4406c6897,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",2018-04-19,"One of the pieces didn't fit, it was a different diameter. I had to saw and hammer to get it to fit and fit.
For the rest, everything ok."
eb6d75bedecae7b3dbea11b8530637d8,Excelente produto.,2018-02-17,Excellent product.
a36150969fe6bd09ed011dd78aeb0189,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",2016-11-02,"Delay in delivery, I hated the service and I will NEVER buy again. baratheon when sold by themselves was much better!"
2c303fb6b2f9c16f324f7deb88e736fe,Produto muito bom,2018-08-08,Very good product
43992f6d75ecc01ddd8c748b9362bc81,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,2018-03-23,my product has not arrived... according to tracking it is stopped in Ribeirão Preto sp...
8b4c14417bccab81710772ecb8b23fd6,produto deu defeito na 1 vez de uso.,2018-08-03,Product failed the 1st time of use.
3528296df9092b7a7b88bd036e3f8a8e,super recomendo produto profissional de qualidade,2018-07-14,highly recommend professional quality product
252b934455d29ca8cc070504686ecc52,até agora não recebi o produto.,2018-03-14,Until now I have not received the product.
b736ff4204044e49e39062584d06fa74, A loja anuncia um produto e entrega outro.,2018-08-24,The store advertises one product and delivers another.
c7475b2c4448321756b6136327f1394e,muito bom e rapido quando vi ja tinha chegado,2018-08-23,very good and fast when I saw it had already arrived
44cdb9cb9c9f8d6bcea59e0b61b8df6a,O produto chegou muito bem,2017-12-13,The product arrived very well
65b934c20d632fc2df0fd4723464fa78,"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",2018-06-12,"Despite being delivered quickly, they replaced the METEORO box with the BORNE box. When I tried to complain to Lannister, the system was down. The guitar and accessories were correct."
af9e54a155c1248534f1fa60179c6393,Muito satisfeito,2017-12-05,Very satisfied
ea12cd666e65ef6cfc48e7ddd8596833,parabéns para loja e revendedor apesar de ter demorado um pouco,2017-09-23,congrats to store and dealer even though it took a while
8023f946d9b261cb0ecb604703427917,"Entregue dentro do prazo, e com bom período de validade.",2018-05-05,"Delivered on time, and with good shelf life."
4faa35770cc4dbf5f2725bcebdd1bdc6,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",2018-01-18,"The set of towels is beautiful, more beautiful than in the photo, I loved it."
c239d18d7e310e477d5e7b76b362db1d,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),2018-03-11,product was delivered with one of the handles with problems (1 fixing pin is missing)
b3df5ccdfff218d039dd166e3da759f5,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,2018-03-01,The day 02/14 was scheduled for delivery of the order and in the tracking it marked that the product had already been delivered on the date but in reality it was not delivered. The product was only delivered on the 28/02
c11da18223114c483b887b9914045f79,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",2017-06-07,STORE IN ADDITION TO THE SHIPPING BEING VERY EXPENSIVE . THE PRODUCT TAKES ALMOST 30 BUSINESS DAYS TO ARRIVE AT YOUR HOME
6f885e2fd69412264d9e74e805175d53,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",2017-06-22,"I received it very quickly, but another product came, and not what I ordered, the model came different, the color, a cover came that does not have a zipper, in short, I do not recommend it."
b83ba2a97932a8a661f5bf8eac7642bd,sempre comprei no stark e estou satisfeito.,2017-05-31,I've always bought from stark and I'm satisfied.
a6c58307ee35180cf0dc1d39466db359,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,2017-12-23,I made the purchase by table and thank God everything went well I am very grateful you can trust.
f7eb8792e67d53e01a224bfa9b6802b2,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",2018-08-05,"They canceled my purchase the day before delivery, I called Lannister and the attendants didn't know what was going on, a mess, now I'm waiting to see if I will be charged"
4940d39efaa50e020312724f6a6e5efa,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,2018-06-08,Quality product and efficient delivery. I received much earlier than agreed. I recommend
7bd303edd3865abe8addb98d2a2e6577,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,2018-08-01,Good product came on time arrived in 08 days are to be congratulated.
11caa17c5966423a2f73ded6a13ad638,"Tudo ok,o baratheon sempre responsável com a suas entregas.",2017-07-26,"Everything ok, the baratheon always responsible with his deliveries."
4dd68a0dee5ede8a445f797c46bca436,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,2017-07-05,the finish that was in the photo was beautiful the one it arrived in was an ugly synthetic with a finish all blurred I didn't like it
f55ac350831de6694d569e9c0176dacd,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,2018-01-31,And very disorderly I bought three products but they didn't come on the day sertões they came separately and on a separate date
3fb929ba2924ff0a47858efb007ceee1,entrega rapida,2018-08-07,fast delivery
58b27f28e98acdaec89d736d8ed79dd5,Mercadoria certa entregue no prazo combinado. Grata,2018-02-24,Right goods delivered on time. Grateful
6280ca6a9e8c3a56b668ec8c5396caaf,Passou dos dias previstos.,2018-02-09,The scheduled days passed.
968989a3b5192c9b9436fe7546acaca4,Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,2018-03-30,"When purchasing the kit, I understood that I would receive 2 bottles of 60 capsules (each) and not 2 bottles with 60 capsules in total. I just won't return it because I need the product."
dc92cf357f5eb4d61b6a95fed53d17e1,Entrega bem antes do prazo perfeito!!,2018-08-14,Delivery well before the perfect deadline!!
382d855ffdd4f5e66594dbfb1566e96f,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,2018-06-03,Every time I buy more I'm satisfied congratulations on the honesty with your customers 👏👏👏👏?
06aa3111724159bb69b8568181ec05c4,bem rapido a entrega e bom comprar com vcs,2017-10-20,very fast delivery and good to buy with you
3db041dd46e9935752c691a2093799c2,Produto não recomendo não ler em nenhum dispositivo,2018-04-27,Product do not recommend not read on any device
9ad64902b6c9bfad48bbe4d17e4dcb4b,"Entrega super rápida, parabéns!",2017-05-13,"Super fast delivery, congratulations!"
6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,Tudo rápido e eficiente.,2018-08-12,Everything is fast and efficient.
8f9aa50ee40780ba3f79614530a34ebe,Creme maravilhoso e entrega super rápida,2018-05-10,Wonderful cream and super fast delivery
f3f77d01a24ce4da52b6f7e83e71498d,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",2018-03-01,"Trying to cancel the product since before the invoice was issued. I was not notified that it was in the mail, I had no response from the cancellation and I cannot return it."
2fe0ca8fe19ae1ab68408a1235bbd054,"Chegou hoje 
sem comentários",2018-03-31,"Arrived today
no comments"
b396ba75350276a6cc1993b6627dceea,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",2018-08-23,"Goodnight

It's unfortunate, this store I've already made so many purchases from and today I'm not even satisfied with a watch worth 50.00 reais... a defective product and so far I haven't received a response"
610a49f3e897c9295111d0a8c0d6e65b,Muito bom! Aquilo que esperava!,2017-12-05,Very good! What I expected!
f3401a1de0c152923ba58cf7b7d2b84a,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,2018-05-19,"The protective cover is not exactly what I expected, it leaves something to be desired in terms of material and quality."
ef9ef383ff6625e8e118db388ad3420d,No site o produto parece ter melhor qualidade de material e acabamento.,2018-07-06,On the website the product seems to have better quality of material and finish.
5d6f9cddc8335878d8bf20c3bd4602e8,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",2018-08-10,"I received my product correctly and on time, checking the box that everything is correct, but I haven't assembled it yet. Beautiful product, perfect color, we love it.
SUPER RECOMMEND."
f4d74b17cd63ee35efa82cd2567de911,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",2018-01-12,"The packaging left something to be desired, the product was almost not damaged, the box was all crumpled."
f4d74b17cd63ee35efa82cd2567de911,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",2018-01-12,"The packaging left something to be desired, the product was almost not damaged, the box was all crumpled."
f4d74b17cd63ee35efa82cd2567de911,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",2018-01-12,"The packaging left something to be desired, the product was almost not damaged, the box was all crumpled."
f4d74b17cd63ee35efa82cd2567de911,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",2018-01-12,"The packaging left something to be desired, the product was almost not damaged, the box was all crumpled."
3a336941a21a96535c9b70e3d28be499,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,2018-07-04,Congratulations. Product delivered well before the deadline. It met my needs.
f677a419ee4910ae12bf8cb73dc0d332,Faltaram os cabos e o manual,2018-02-27,Missing cables and manual
2e21bb397364fa799a4a1609fd2e6e3b,ótimo chegou bem antes do prazo .,2017-09-01,great arrived well before the deadline .
670e12015ba4dca0bc1d220aaf5c19f9,Entregue no prazo produto muito bom.,2017-10-14,Delivered on time very good product.
7cae6dc895e8f5238f2300e103742ce2,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",2017-03-22,"The product was packaged only with brown paper over the packaging and sent by courier. Of course, the packaging arrived crumpled and only god knows if the product is working or not, I haven't tested it yet."
5e5ae81fbed794a34c7b44744b168a5f,Acho q deveriam mandar por sedex ao invés de pac,2017-07-26,I think they should send it by sedex instead of pac
af41ee42a3e2dc767023449fda6c12fa,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",2018-03-21,"Last time I buy because today will be 1 month since I bought it and nothing, and if it takes longer to deliver I will be looking for my rights against the Lannister and Targaryen stores."
d28138dcbee5d50ca9dddb812d21ce85,Lindo... Só faltou instruções da troca de pulseiras.,2018-03-18,Gorgeous... The only thing missing was instructions on how to change the bracelets.
cc4e1115d5c84efa5976f12404569949,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",2018-04-04,"Product exactly as described.
It arrived well ahead of schedule!"
07b48dbc11677f5021dbefcaba550ed2,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",2017-07-26,"The product arrived well before the stipulated deadline, I loved the service! highly recommend"
4f2d420b33665f546c373953c8dfb5fd,"Não gostei do produto, material de péssima qualidade.",2017-10-08,"I didn't like the product, poor quality material."
bfd1c687738141ef5861a1a1269ca855,"Dos dois produtos comprados, foi entregue apenas um!",2018-01-10,"Of the two products purchased, only one was delivered!"
6724babb3b9952660bc345b5f5a4db07,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,2018-02-09,"I don't buy from Lannister anymore. If you partner with Lannister or not, this targaryen will never use you again. When I read that it's from this company, I run away. Absurd. Almost a month to deliver. extra.com ok"
c5efc0219f2949a8f81d5e8b39b9ca0c,Recebi corretamente o produto,2017-03-23,I received the product correctly
830cc72c5691e78c2cde500865e21e65,"recebi o produto dentro do prazo informado, ainda não utilizei.",2018-03-24,"I received the product within the stated period, I have not used it yet."
8a310b56e4d05a7786d23986a1a49ae9,"O pedido chegou antes do combinado, muito bom.",2018-05-08,"The order arrived earlier than agreed, very good."
d44b85fda6987ad606e1b7c62dd481e4,produto entregue conforme anunciado.,2017-09-05,Product delivered as advertised.
5c1ba09de5c746017d406bd2cfefeca3,recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,2018-04-26,receive only 01 piece of the product! I need the remaining 2 pieces!
700135724fcdc3170960fd95b8fb5904,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",2017-06-22,"The guitar I bought is beautiful, but the color of the sticker does not match the photo of the purchase, but I approved."
b54c1776f5955ced2f54c711c665a025,Nem fizeram a nota fiscal ,2018-01-30,They didn't even make the invoice
264527c876f418e7b43e09f0079942e2,"Chegou antes do prazo!
Produto excelente!",2018-03-06,"It arrived ahead of schedule!
Excellent product!"
